,종목이름,종목코드,21_1Q_매출액,21_1Q_영업이익,21_1Q_순이익,21_2Q_매출액,21_2Q_영업이익,21_2Q_순이익,21_3Q_매출액,21_3Q_영업이익,21_3Q_순이익,21_4Q_매출액,21_4Q_영업이익,21_4Q_순이익,22_1Q_매출액,22_1Q_영업이익,22_1Q_순이익
264,GS건설,[006360],2010000000000.0,177000000000.0,158000000000.0,2230000000000.0,125000000000.0,62067301977.0,2170000000000.0,152000000000.0,133000000000.0,2620000000000.0,193000000000.0,75576017518.0,2380000000000.0,153000000000.0,155000000000.0
265,대구백화점,[006370],21959569081.0,-4194545238.0,-6106339097.0,20501465801.0,-3389082750.0,-4080144733.0,19865305290.0,-5640672681.0,-7400048181.0,19467751393.0,-4847140587.0,11754611989.0,19845830499.0,-3559005521.0,-5289093784.0
266,카프로,[006380],131000000000.0,2375772360.0,2422783148.0,147000000000.0,2022400248.0,1314073432.0,140000000000.0,-6905194415.0,-7465635399.0,164000000000.0,6110102180.0,5686712279.0,146000000000.0,-19940007195.0,-20623814289.0
267,한일현대시멘트,[006390],77635814158.0,259383911.0,78359589.0,108000000000.0,20225241501.0,17813317268.0,99478051198.0,14517064075.0,10871599372.0,112000000000.0,947508883.0,11621997574.0,82054085425.0,-6684259374.0,-6441609081.0
268,삼성SDI,[006400],2960000000000.0,133000000000.0,150000000000.0,3330000000000.0,295000000000.0,288000000000.0,3440000000000.0,373000000000.0,420000000000.0,3820000000000.0,266000000000.0,392000000000.0,4050000000000.0,322000000000.0,363000000000.0
269,인스코비,[006490],17299241677.0,68134406.0,3792270071.0,14704417465.0,-1475179044.0,-1891252756.0,18078292282.0,-1211234568.0,5864882063.0,21583573789.0,196783552.0,-2677599718.0,17601504076.0,320016970.0,103100412.0
270,대림통상,[006570],35432099534.0,-558183799.0,-854800831.0,36460038189.0,584755833.0,129109784.0,38905773966.0,-167272736.0,79474218.0,44431207514.0,3084542296.0,986864615.0,42237522906.0,1870396248.0,1171614595.0
271,대양제지,[006580],33468274907.0,-1144233069.0,452853490.0,35083820889.0,-1297017859.0,-456001996.0,30951956247.0,-1697320605.0,9542567156.0,28053378808.0,-2574145294.0,-1903459086.0,25061780221.0,-1624498210.0,-1696761192.0
272,동구바이오제약,[006620],36402709159.0,1865402938.0,237314036.0,38175511937.0,1589620182.0,4870276453.0,40411084522.0,2238109832.0,2348233282.0,40159905185.0,2446242580.0,1870769013.0,47298799868.0,5243031776.0,2275305313.0
273,대한유화,[006650],560000000000.0,86547199814.0,70608843289.0,634000000000.0,75746764829.0,58443868259.0,634000000000.0,32100761822.0,30859749551.0,687000000000.0,-14980687119.0,-9976516485.0,694000000000.0,-2229869636.0,2496140193.0
274,삼성공조,[006660],18343845074.0,264022257.0,2215706191.0,20793013794.0,-467730249.0,1283270806.0,19137945377.0,656480404.0,2036928476.0,21303630909.0,717924996.0,-8015467873.0,21304502220.0,507537853.0,3882228394.0
275,서부T&D,[006730],19183658679.0,-347760311.0,-8464764600.0,23325287148.0,-4386111457.0,-9922695823.0,23627951749.0,973880840.0,-6645354428.0,30595777740.0,-1573108825.0,64237905847.0,26758477677.0,3585479681.0,-3852649683.0
276,영풍제지,[006740],29141871219.0,3462657305.0,2755249028.0,30775212050.0,2753944181.0,2257137949.0,28942584839.0,268422719.0,57718173.0,31752843441.0,1613472019.0,1272494301.0,28180186667.0,2049944465.0,1533983088.0
277,AK홀딩스,[006840],683000000000.0,-39499619893.0,-48953174578.0,839000000000.0,-17355129930.0,-21527541547.0,832000000000.0,-64696959257.0,-76964276131.0,813000000000.0,-44163235011.0,-51881064486.0,820000000000.0,-46391573226.0,-48038859624.0
278,신송홀딩스,[006880],41442538955.0,1938400458.0,1526848757.0,57175976728.0,1333878890.0,2660568844.0,27108327725.0,1975561953.0,2218879624.0,60717422855.0,1619837253.0,567346968.0,50640056031.0,2457391060.0,1387959419.0
279,태경케미컬,[006890],13799819082.0,3437618297.0,4113296007.0,12567212045.0,3088833131.0,2741906673.0,15152549454.0,3366521921.0,2923746450.0,12546606308.0,2242119632.0,1135736734.0,14332124037.0,2481088662.0,4442826029.0
280,보성파워텍,[006910],16244876685.0,-164631579.0,-996090369.0,13390968348.0,544308725.0,954214807.0,16265709582.0,-1712746249.0,-1121777870.0,22637463474.0,-156262786.0,237249364.0,9288494357.0,-1050327462.0,-884980885.0
